"alias_id","alias","provider_id","mapped_product","product_id"
46978,AUTP DIESEL BLENDSTOCK,,Diesel,1394
46979,ADO WINTER,,Diesel,1394
46980,DISTILLATE BLENDSTOCK 500 PPM,,Distillate Blendstock,1402
46981,DISTILLATE BLENDSTOCK 180PPM,,Distillate Blendstock,1402
46982,DIST BLDSK 1800,,Distillate Blendstock,1402
46983,DIST BLDSTK 1800 EXP,,Distillate Blendstock,1402
46984,ETHYL TERTIARY BUTYL ETHER(E.T.B.E,,ETBE,1470
46985,E.T.B.E.,,ETBE,1470
46986,ETHYL TERTIARY BUTYL ETHER (E.T.B.E.)MARINE,,ETBE,1470
46987,ETHYL TERTIARY BUTYL ETTIER(E.T.B.E.),,ETBE,1470
46988,ETHYL TERTIARY BUTYL ETHER (E.T.B.E.),,ETBE,1470
46989,ETHYL TERTIARY BUTYL ETHER(E.T.B.E.),,ETBE,1470
46990,GRAIN ALCOHOL,,Ethanol,1474
46991,CRUDE DENATURED ETHYL ALCOHOL,,Ethanol,1474
46993,UNDENATURED ANHYDROUS B GRADE,,Ethanol,1474
46995,UNDENATURED T2 BIO ETHANOL,,Ethanol,1474
46996,UNENDATURED ETHYL ALCOHOL,,Ethanol,1474
46997,ANHYDROUS B GRADE ETHYL ALCOHOL,,Ethanol,1474
46998,NEUTRAL ETHYL ALCOHOL MADE FROM CORN,,Ethanol,1474
46999,NEUTRAL ETHYL ALCOHOL,,Ethanol,1474
47002,CRUDE FERMENTAITON ETHYL ALCOHOL,,Ethanol,1474
47005,UNDENATURED NEUTRAL ETHYL ALCOHOL,,Ethanol,1474
47006,UNDENATURED ANHYDOURS ETHANOL,,Ethanol,1474
47007,UNDENATURE ETHYL ALCOHOL,,Ethanol,1474
47008,DENATURED ETHANOL (ETHANOL 100),,Ethanol,1474
47010,ANHYDROUS ETHYL ALCOHOL.,,Ethanol,1474
47012,UNDENATURED ETHYL ALCOHOL WITH A VOLUMETRIC CONTEN,,Ethanol,1474
47013,UNDENATURED ANHYDROUS ETHYL ALWHOL,,Ethanol,1474
47016,DENATURED 190 GNS ETHANOL,,Ethanol,1474
47018,UDENATURED T1 BIO ETHANOL,,Ethanol,1474
47019,HYDROUS GNS ETHANOL,,Ethanol,1474
47021,ANHYDROUS ETHANOL DENATURED,,Ethanol,1474
47023,UNDENATURED ETHANOL ANHYDROUS,,Ethanol,1474
47025,UNDENATURATED GRADE ETHANOL,,Ethanol,1474
47026,UNDENATURED EHTANOL,,Ethanol,1474
47029,GNS 192 PROOF ETHYL ALCOHOL,,Ethanol,1474
47030,ETHYL ALCOHOL IN BULK,,Ethanol,1474
47032,PURE ALCOHOL 192 PROOF,,Ethanol,1474
47033,DEANTURED HYDROUS EXTRA NEUTRAL ALCOHOL 96 PCT MIN,,Ethanol,1474
47034,ETHANOL ANHYDROUS UNDENATURED,,Ethanol,1474
47035,CRUDE FERMINTATION ETHYL ALCOHOL,,Ethanol,1474
47036,HYDROUS ETHYL ALCOHOL,,Ethanol,1474
43864,ULTRA LOW SULFUR DIESEL (ULSD) FREIGHT PAYABLE AS PER CHARTER PARTY,,Ultra Low Sulfur Diesel,2326
43873,"GASOLINE 97 CLEAN ON BOARD: MAY 1, 2021 FREIGHT PAYABLE AS PER CHARTER",,"97 Gasoline",1028
43874,GASOLINE NAFTA ALTO OCTANO RON 93,,"93 Gasoline",1022
43875,"GASOLINE 97 CLEAN ON BOARD: APRIL 15, 2021 FREIGHT PAYABLE AS PER CHAR",,"97 Gasoline",1028
43876,GASOLINE(MOGAS 89),,"89 Gasoline",1014
43878,GASOLINE (MOGAS),,Gasoline,1534
43879,GASOLINE (GASOLINE RON 92),,"92 Gasoline",1020
43880,GASOLINE (GASOLINE RON 95),,"95 Gasoline",1024
43881,GASOLINE 91R,,"91 Gasoline",1018
43887,GASOLNE,,Gasoline,1534
43889,ETHANOL 2500MT,,Ethanol,1474
43895,"GASOLINE 97 CLEAN ON BOARD: JULY 23, 2021 FREIGHT PAYABLE AS PER CHART",,"97 Gasoline",1028
43896,"GASOLINE 95 CLEAN ON BOARD: JULY 23, 2021 FREIGHT PAYABLE AS PER CHART",,"95 Gasoline",1024
99021,Jet A-1 (Al Jubail),,Jet A-1,1646
43911,ethyl tert b. ether,,ETBE,1470
43914,ethanol 1,,Ethanol,1474
43847,(MDO),,Marine Diesel,1806
43865,ULTRA LOW SULFUR GAS OIL (ULSGO-DY.M),,Ultra Low Sulfur Diesel,2326
43866,ULTRA LOW SULFUR DIESEL - ULSD,,Ultra Low Sulfur Diesel,2326
43867,ULTRA LOW SULFUR DIESEL ULSD PA 2710 19 21 11,,Ultra Low Sulfur Diesel,2326
43868,"ULTRA LOW SULFUR DIESEL (ULSD) STOWAGE (1P, 1S, 2P, 2S, 3P, 3S, 4P, 4S",,Ultra Low Sulfur Diesel,2326
43871,GASOLINE MOGAS92,,"92 Gasoline",1020
43872,GASOLINE(MOGAS 93),,"93 Gasoline",1022
43877,GASOLINE  MOGAS,,Gasoline,1534
43884,GASOLINE F1,,"87 Gasoline",1010
43885,LCO LIGHT CYCLEL OIL,,Light Cycle Oil,1726
43891,LIGHT CATALYTIC NAFTA,,Light Catalytic Naphtha,1724
43892,METHYL TERTHIAY BUTH. ETH,,MTBE,1872
47037,UNDENATURE ETHYL ALCOHOL IN BULK,,Ethanol,1474
100665,GASOLINE 30000,,Gasoline,1534
47038,UNDENATURED ETHYL ACLOHOL,,Ethanol,1474
47039,HYDROUS EXTRA NEUTRAL,,Ethanol,1474
43870,ULTRA LOW SULFUR DIESEL - B0,,Ultra Low Sulfur Diesel,2326
43897,"GASOLINE 90 CLEAN ON BOARD: JULY 24, 2021 FREIGHT PAYABLE AS PER CHART",,"90 Gasoline",1016
43950,"40.000t NAFTA",,Naphtha,1886
100666,GASOLINE 37200,,Gasoline,1534
44509,FERMENTATION CRUDE ETHYL ALCOHOL MADE FROM US CORNETHYL ALCOHOL,,Ethanol,1474
12327,Pirocondensate,,Pyrolysis Gasoline,2062
100667,GASOLINE 62000,,Gasoline,1534
100668,Gasoline UNL MOGAS 98RON 94 k bbl,,"98 Gasoline",1030
77254,"500 PPM",4877,Gasoil 500ppm,1514
47040,ANHYDROUS UNDENATURED ETHYL ALCHOL,,Ethanol,1474
47041,UNDENATURED GNS ETHANOL,,Ethanol,1474
47042,ETHYL ALCOHOL 96% BY VOLUME,,Ethanol,1474
47043,UNDENATURED GNS,,Ethanol,1474
47044,ETHYL ALCOHOL,,Ethanol,1474
47046,ANHYDROUS UNDENATURED E100 ETHANOL,,Ethanol,1474
47049,FERMENTATION CRUDE ETHYL ALCOHOL,,Ethanol,1474
47052,UN-DENATURED ETHANOL,,Ethanol,1474
47053,ANHYDROUS BIOETHANOL (PNS GRADE),,Ethanol,1474
47054,UNDENATURED T1 BIO ETHANOL,,Ethanol,1474
47055,UNDENATURED 190 GNS ETHANOL,,Ethanol,1474
47058,UNDENATURED EXTRA NEUTRAL CORN ETHANOL,,Ethanol,1474
47059,DENATURED ETHANOL BY BLEND WITH NAT GAS,,Ethanol,1474
47061,DENATURED ETHANOL BY BLEND - NAT GAS,,Ethanol,1474
47062,ANYDROUS DENANTURED ETHANOL,,Ethanol,1474
47063,NEUTRAL ETHANOL,,Ethanol,1474
47064,DENAUTRED ETHANOL,,Ethanol,1474
47067,DENATURED ETHANOL (GASOLINE),,Ethanol,1474
47068,GNS 192 PROOF,,Ethanol,1474
47069,PURE ALCOHOL 192 PROOF GNS,,Ethanol,1474
47071,UNDENATURED 192 PROOF GNS,,Ethanol,1474
