"alias_id","alias","provider_id","mapped_product","product_id"
47309,"10PPM ULTRA LOW SULPHUR HEATING OIL",,Ultra Low Sulfur Heating Oil,2330
47310,ULTRA LOW SULFUR HEATING OIL 10PPM,,Ultra Low Sulfur Heating Oil,2330
47311,ULSH,,Ultra Low Sulfur Heating Oil,2330
47312,ULTRA LOW SULPHUR HEATING OIL,,Ultra Low Sulfur Heating Oil,2330
47313,"10PPM ULTRA LOW SULFUR HEATING OIL",,Ultra Low Sulfur Heating Oil,2330
47314,HEATING OIL GRADE 77,,Heating Oil,1582
47315,"10PPM ULSH",,Ultra Low Sulfur Heating Oil,2330
47316,#2HO ULS 15,,Ultra Low Sulfur Heating Oil,2330
47317,ULSD HEATING OIL,,Ultra Low Sulfur Heating Oil,2330
47318,ULS HEATING OIL,,Ultra Low Sulfur Heating Oil,2330
47319,ULSD HEATING OIL 10PPM,,Ultra Low Sulfur Heating Oil,2330
47320,LOW SULFUR HEATING OIL 500 PPM,,Low Sulfur Heating Oil,1766
47321,HEAVY NAPHTHA - GASOLINE,,Gasoline,1534
47322,HEAVEY NAPHTHA,,Heavy Naphtha,1588
47323,HEAVY N+A NAPHTHA,,N+A Naphtha,1884
47324,HEAVY NAPHTHA - GASOLINE BLENDSTOCK,,Heavy Naphtha,1588
47325,HEAVY NAPHTA,,Heavy Naphtha,1588
